Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,45 sq.m.,1,2,1,Not available,Euro Renovation,700 sq.m.,Tavush › Ijevan,"7,200,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. At 18, Nalbandian Street, Ijevan, there is a residential house with a size of 44.8 square meters, a plot of land with a size of 700 square meters. The building has one floor and a basement, the foundation of the building is reinforced concrete, in general, the interior and exterior decoration of the residential house is in good condition.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18688149,House is Finished
House,Stone,70 sq.m.,2,3,1,1 spot,Partial Renovation,600 sq.m.,"Մյասնիկյան փողոցի 1-ին նրբանցք, Դիլիջան","$38,000",USD,A private house in the center of Dilijan is for sale. High position. With a beautiful view. The price is negotiable. Price negotiable...Translated from Armenian,Dec-15-2022_21-57,By agreement,Barbecue oven,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18507944,House is Finished
House,Stone,200 sq.m.,1,4,1,,Old Renovation,450 sq.m.,"Kamo Street, Dilijan","$80,000",USD,Продается дом в живописном месте г. Дилижана. Рядом с каналом.,Dec-15-2022_21-57,,,,,https://list.am/en/item/18512820,
House,Stone,392 sq.m.,4+,8+,3+,2 spots,Partial Renovation,434 sq.m.,"Ուսանողական փողոց, Դիլիջան","$250,000",USD,"ART-1365A 4-storey private house for sale in Dilijan, on Student Street; The total area is 391.8 square meters, and the land area is 434 square meters. The house is partially renovated. There are partial euro windows, heating system, the floor is covered with parquet, the bathrooms are tiled. There are garages on the 1st floor. On the 2nd floor there are 3 bedrooms, hall, kitchen, bathroom. On the 3rd floor there is a living room, 4 bedrooms, a kitchen, a bathroom. On the 4th floor there is a room, a room for billiards, a bathroom, a kitchen.Translated from Armenian",Dec-15-2022_21-58,By agreement,Gazebo,,,https://list.am/en/item/18636551,House is Finished
House,Stone,295 sq.m.,2,4,1,,Partial Renovation,300 sq.m.,"Բլբուլյան փողոց, Իջևան","$40,000",USD,"2-storey apartment for sale in Ijevan Blbulyan 3rd st. , flat 8:For more information callTranslated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/18418849,
House,Stone,351 sq.m.,3,8+,2,Not available,No Renovation,1200 sq.m.,"Kamo Street, Dilijan station","$120,000",USD,A newly built private house in Dilijan. For more information call:Translated from Armenian,Dec-15-2022_21-58,Not available,,,,https://list.am/en/item/18475751,
House,Stone,100 sq.m.,2,5,2,1 spot,Partial Renovation,1000 sq.m.,"Իվանովա փողոց, Դիլիջան","$100,000",USD,"A two-story private house for sale in Dilijan, with all utilities.The house is located on Ivanovi Street, has a beautiful view. The bathroom is renovated.It has an attached garage and land.It is also suitable for a guest house.Translated from Armenian",Dec-15-2022_21-58,Available,Barbecue oven,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18649767,
House,Stone,214 sq.m.,2,5,2,1 spot,No Renovation,,Tavush › Dilijan,"$50,000",USD,"Two-story stone house for sale in Dilijan city. The house has an entrance hall, a long corridor, 4 bedrooms, a large living room, a bathroom and a bathroom, a kitchen and a long terrace. It is gasified, has permanent water. Directly from the owner.Translated from Armenian",Dec-15-2022_21-58,Available,,,,https://list.am/en/item/18477160,
House,Stone,580 sq.m.,2,4,1,,Old Renovation,100 sq.m.,"Kalinini street, Dilijan station","$73,000",USD,"It is a two-storey private house, there is permanent water, gas and light... There are various fruit trees in the garden...Translated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/17741973,
House,Stone,150 sq.m.,2,6,2,2 spots,Cosmetic Renovation,500 sq.m.,"Kalinini street, Dilijan station","€160,000",EUR,"Двух этажный дом в сердце города с садам перед и с зади дома, гараж - бывшый завод по произвоцтву пласиковых изделий. 3 зала одна музикалная, перед домом болшая орешня, 2 минуты до спорт зала и фудбольного поля города(whatcap + 34642948321)",Dec-15-2022_21-58,Available,,,,https://list.am/en/item/18477239,
House,Stone,75 sq.m.,1,3,1,Not available,Old Renovation,900 sq.m.,Tavush › Ijevan,"$68,000",USD,"A 3-room detached house is for sale on Aygestan Street in Ijevan, the house area is 75 square meters, the total land area is 900 square meters.The house is old renovated, it needs major renovation.It also has a 15 square meter livestock building, a pantry of 8 square meters, a separate bathroom of 8 square meters.It has gas, water, electricity, sewerage.The price is $68,000.NegotiableTranslated from Armenian",Dec-15-2022_21-58,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18595967,
House,Stone,86 sq.m.,2,4,1,Not available,Cosmetic Renovation,250 sq.m.,Tavush › Dilijan,"8,000,000 ֏",AMD,"Վաճառվում է բնակարան Հաղարծին գյուղում, շենքում ապրում է 8 ընտանիք շենքը 2 հարկ է, բնակարանը ունի կոսմետիկ վերանորոգման կարիք, մշտական տաք և սառը ջուր, և բնության հրաշալի տեսարան։Տունը առջևում ունի փոքրիկ այգի, նաև անասնագոմԳինը վերջնական, հարցերի դեպքում զանգահարեք",Dec-15-2022_21-58,,,,,https://list.am/en/item/15916730,
House,Stone,200 sq.m.,2,6,1,1 spot,Old Renovation,600 sq.m.,"Ստեփան Շահումյանի փողոց 13, Դիլիջան","$125,000",USD,"A private house for sale, in Dilijan, 60 meters down from Yeghevniri street.Old renovation, but preserved, the floor is parquet.Two-story + attic, suitable for use as a guest house.Translated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/18384829,
House,Stone,100 sq.m.,2,4,1,,Cosmetic Renovation,600 sq.m.,"Hovsepyan Street, Dilijan station","$110,000",USD,"Private house, own house for sale, in Dilijan with a very beautiful view, the house is in a very good condition, you can serve as a guest house.Translated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/18407191,
House,Stone,324 sq.m.,2,8+,3+,,Designer Renovation,500 sq.m.,Tavush › Dilijan,"$300,000",USD,"House for sale in DilijanOperating a family businessSELLS WITH ALL PROPERTY AND EQUIPMENTThe guest house consists of 3 two-storey buildings / cottage /Total area 313.12 sq / m + 33.44 sq / m balcony + 350 sq / m green landThere are 3 summer pavilions3 barbecues, swimming pool. Laundry. Small playgroundAvailable with all utilitiesIndividual heating systemWith video surveillance systemThe building was built in 2018. In December, it has been operating since 2019Call the mentioned phone number for detailsCode 40107Translated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/17799949,
House,Stone,130 sq.m.,2,5,2,,Partial Renovation,700 sq.m.,Tavush › Dilijan,"$35,000",USD,"A semi-built house for sale in Dilijan, 7000m of land, communication is nearby, the road is asphalt and flat.Translated from Armenian",Dec-15-2022_21-58,,,,,https://list.am/en/item/18485813,
House,Stone,540 sq.m.,3,6,1,,Major Renovation,8000 sq.m.,Tavush › Haghtanak,"$50,000",USD,Продаю срочно есть торг полностью ремонтировал зайди и живи имеется свет вода газ и все что надо для комфорта,Dec-15-2022_21-58,,,,,https://list.am/en/item/18493655,
House,Stone,400 sq.m.,3,8+,1,,No Renovation,,"Usanogakan street, Dilijan station","$100,000",USD,For sale: Own house c. In Dilijan. The house needs major repairs.Translated from Armenian,Dec-15-2022_21-58,,,,,https://list.am/en/item/18476032,
House,Stone,100 sq.m.,2,3,1,,No Renovation,300 sq.m.,Tavush › Dilijan,"$50,000",USD,The price is negotiableTranslated from Armenian,Dec-15-2022_21-58,,,,,https://list.am/en/item/18472616,
